municipality_id,department,municipality,historical_mean_may_aug_mm,historical_sd_may_aug_mm,year,rain_may_aug_mm,historical_percentile,rainfall_z_score,data_status,percentile_group
101,Guatemala,Guatemala,805.9353880763103,168.58441163415105,2015,560.1430032031847,2.2222222222222223,-1.4579781279334738,FINAL historical CHIRPS,1-10
102,Guatemala,Santa Catarina Pinula,979.7887848916724,188.28410955681804,2015,722.6155934268032,4.444444444444445,-1.3658783636611813,FINAL historical CHIRPS,1-10
103,Guatemala,San José Pinula,1157.1574856924851,214.54544181718063,2015,856.805358831504,2.2222222222222223,-1.3999464370672505,FINAL historical CHIRPS,1-10
104,Guatemala,San José Del Golfo,564.2120971368274,127.61438389904863,2015,336.16631795193257,2.2222222222222223,-1.7869911856119138,FINAL historical CHIRPS,1-10
105,Guatemala,Palencia,813.5525578322723,175.5907257759969,2015,518.8578817440826,2.2222222222222223,-1.6783043340462926,FINAL historical CHIRPS,1-10
106,Guatemala,Chinautla,781.2513278676729,175.818569432629,2015,514.3566933733922,4.444444444444445,-1.5180116375395185,FINAL historical CHIRPS,1-10
107,Guatemala,San Pedro Ayampuc,679.3514012654831,147.4031573174629,2015,435.2565456910141,2.2222222222222223,-1.6559676198031548,FINAL historical CHIRPS,1-10
108,Guatemala,Mixco,782.2114395617658,168.7531626939166,2015,556.5026496687739,4.444444444444445,-1.33750850229919,FINAL historical CHIRPS,1-10
109,Guatemala,San Pedro Sacatepéquez,794.3541452704935,178.34897148315923,2015,564.5842227483873,8.88888888888889,-1.2883164988916262,FINAL historical CHIRPS,1-10
110,Guatemala,San Juan Sacatepéquez,783.2933334662749,168.60131643179946,2015,541.3000011378946,6.666666666666667,-1.4352991865651803,FINAL historical CHIRPS,1-10
111,Guatemala,San Raymundo,755.7512996836648,166.0762972765092,2015,501.629279252631,4.444444444444445,-1.5301522529005607,FINAL historical CHIRPS,1-10
112,Guatemala,Chuarrancho,632.3679121520246,139.41749551678137,2015,385.40646054621106,2.2222222222222223,-1.771380634047377,FINAL historical CHIRPS,1-10
113,Guatemala,Fraijanes,984.886868442841,175.93129984548875,2015,775.679730883418,8.88888888888889,-1.1891410894090972,FINAL historical CHIRPS,1-10
114,Guatemala,Amatitlán,770.7506099946462,141.7059418775292,2015,589.9172431839966,4.444444444444445,-1.2761170379639881,FINAL historical CHIRPS,1-10
115,Guatemala,Villa Nueva,749.2480761473272,147.86884669335356,2015,567.5639752146405,8.88888888888889,-1.2286841007792415,FINAL historical CHIRPS,1-10
116,Guatemala,Villa Canales,958.5304515810556,165.2652985348972,2015,738.3167862361064,4.444444444444445,-1.3324858109789404,FINAL historical CHIRPS,1-10
117,Guatemala,Petapa,824.5842238321788,155.46342950729655,2015,629.2511968970549,6.666666666666667,-1.2564564383674306,FINAL historical CHIRPS,1-10
201,El Progreso,Guastatoya,499.9250215443532,128.82658094937884,2015,255.0012366539197,2.2222222222222223,-1.9011898249995005,FINAL historical CHIRPS,1-10
202,El Progreso,Morazán,537.8735509995524,139.03309410033285,2015,264.74158390845076,2.2222222222222223,-1.964510456006947,FINAL historical CHIRPS,1-10
203,El Progreso,San Agustín Acasaguastlán,850.9877350833432,209.55483649472436,2015,449.03125982454816,2.2222222222222223,-1.9181445867937028,FINAL historical CHIRPS,1-10
204,El Progreso,San Cristóbal Acasaguastlán,1206.029603749147,288.26095581054057,2015,640.560918983903,2.2222222222222223,-1.9616554839181837,FINAL historical CHIRPS,1-10
205,El Progreso,El Jícaro,831.8877020564397,201.77447027937455,2015,441.0793525178318,2.2222222222222223,-1.9368572693933939,FINAL historical CHIRPS,1-10
206,El Progreso,Sansare,505.998147835385,119.29226852926068,2015,271.26989149628923,2.2222222222222223,-1.9676736743548497,FINAL historical CHIRPS,1-10
207,El Progreso,Sanarate,574.1882496351507,134.01539834303213,2015,299.16941322795986,2.2222222222222223,-2.0521435581845573,FINAL historical CHIRPS,1-10
208,El Progreso,San Antonio La Paz,585.7613569216905,134.50533234946002,2015,329.2859187354839,2.2222222222222223,-1.9068049846518689,FINAL historical CHIRPS,1-10
301,Sacatepéquez,Antigua Guatemala,686.4445699312046,131.24946982128176,2015,542.4406483345621,8.88888888888889,-1.0971771679743016,FINAL historical CHIRPS,1-10
302,Sacatepéquez,Jocotenango,691.9122278494875,133.00926007348656,2015,531.6596537635406,6.666666666666667,-1.2048226867618737,FINAL historical CHIRPS,1-10
303,Sacatepéquez,Pastores,723.5100863668026,142.33409664696933,2015,545.2958810046972,6.666666666666667,-1.2520837210505462,FINAL historical CHIRPS,1-10
304,Sacatepéquez,Sumpango,791.7566790943899,163.07981547651625,2015,575.1359839928052,6.666666666666667,-1.328310891624589,FINAL historical CHIRPS,1-10
