municipality_id,department,municipality,year,rain_may_aug_mm,reference_start,reference_end,reference_n,historical_mean_mm,historical_sd_mm,rainfall_z_score_common,focal_data_status
101,Guatemala,Guatemala,2015,560.1430032031847,1981,2025,45,805.9353880763103,168.58441163415105,-1.4579781279334738,FINAL
102,Guatemala,Santa Catarina Pinula,2015,722.6155934268032,1981,2025,45,979.7887848916724,188.28410955681804,-1.3658783636611813,FINAL
103,Guatemala,San José Pinula,2015,856.805358831504,1981,2025,45,1157.1574856924851,214.54544181718063,-1.3999464370672505,FINAL
104,Guatemala,San José Del Golfo,2015,336.16631795193257,1981,2025,45,564.2120971368274,127.61438389904865,-1.7869911856119136,FINAL
105,Guatemala,Palencia,2015,518.8578817440826,1981,2025,45,813.5525578322723,175.5907257759969,-1.6783043340462926,FINAL
106,Guatemala,Chinautla,2015,514.3566933733922,1981,2025,45,781.2513278676729,175.818569432629,-1.5180116375395185,FINAL
107,Guatemala,San Pedro Ayampuc,2015,435.2565456910141,1981,2025,45,679.3514012654831,147.4031573174629,-1.6559676198031548,FINAL
108,Guatemala,Mixco,2015,556.5026496687739,1981,2025,45,782.2114395617658,168.7531626939166,-1.33750850229919,FINAL
109,Guatemala,San Pedro Sacatepéquez,2015,564.5842227483873,1981,2025,45,794.3541452704935,178.34897148315923,-1.2883164988916262,FINAL
110,Guatemala,San Juan Sacatepéquez,2015,541.3000011378946,1981,2025,45,783.2933334662749,168.60131643179946,-1.4352991865651803,FINAL
111,Guatemala,San Raymundo,2015,501.629279252631,1981,2025,45,755.7512996836648,166.0762972765092,-1.5301522529005607,FINAL
112,Guatemala,Chuarrancho,2015,385.40646054621106,1981,2025,45,632.3679121520246,139.41749551678137,-1.771380634047377,FINAL
113,Guatemala,Fraijanes,2015,775.679730883418,1981,2025,45,984.886868442841,175.93129984548875,-1.1891410894090972,FINAL
114,Guatemala,Amatitlán,2015,589.9172431839966,1981,2025,45,770.7506099946462,141.7059418775292,-1.2761170379639881,FINAL
115,Guatemala,Villa Nueva,2015,567.5639752146405,1981,2025,45,749.2480761473272,147.86884669335356,-1.2286841007792415,FINAL
116,Guatemala,Villa Canales,2015,738.3167862361064,1981,2025,45,958.5304515810557,165.2652985348972,-1.332485810978941,FINAL
117,Guatemala,Petapa,2015,629.2511968970549,1981,2025,45,824.5842238321788,155.46342950729655,-1.2564564383674306,FINAL
201,El Progreso,Guastatoya,2015,255.0012366539197,1981,2025,45,499.92502154435317,128.82658094937884,-1.9011898249995,FINAL
202,El Progreso,Morazán,2015,264.74158390845076,1981,2025,45,537.8735509995524,139.03309410033285,-1.964510456006947,FINAL
203,El Progreso,San Agustín Acasaguastlán,2015,449.03125982454816,1981,2025,45,850.9877350833432,209.55483649472433,-1.9181445867937033,FINAL
204,El Progreso,San Cristóbal Acasaguastlán,2015,640.560918983903,1981,2025,45,1206.029603749147,288.26095581054057,-1.9616554839181837,FINAL
205,El Progreso,El Jícaro,2015,441.0793525178318,1981,2025,45,831.8877020564397,201.77447027937458,-1.9368572693933936,FINAL
206,El Progreso,Sansare,2015,271.26989149628923,1981,2025,45,505.998147835385,119.29226852926067,-1.96767367435485,FINAL
207,El Progreso,Sanarate,2015,299.16941322795986,1981,2025,45,574.1882496351507,134.01539834303213,-2.0521435581845573,FINAL
208,El Progreso,San Antonio La Paz,2015,329.2859187354839,1981,2025,45,585.7613569216905,134.50533234946002,-1.9068049846518689,FINAL
301,Sacatepéquez,Antigua Guatemala,2015,542.4406483345621,1981,2025,45,686.4445699312046,131.24946982128176,-1.0971771679743016,FINAL
302,Sacatepéquez,Jocotenango,2015,531.6596537635406,1981,2025,45,691.9122278494875,133.00926007348656,-1.2048226867618737,FINAL
303,Sacatepéquez,Pastores,2015,545.2958810046972,1981,2025,45,723.5100863668026,142.33409664696933,-1.2520837210505462,FINAL
304,Sacatepéquez,Sumpango,2015,575.1359839928052,1981,2025,45,791.7566790943899,163.07981547651625,-1.328310891624589,FINAL
305,Sacatepéquez,Santo Domingo Xenacoj,2015,601.9541325107539,1981,2025,45,832.2260841706184,180.5512098131162,-1.2753830445014072,FINAL
306,Sacatepéquez,Santiago Sacatepéquez,2015,566.2081961709275,1981,2025,45,775.5974746731882,162.81505442021967,-1.2860560053730332,FINAL
307,Sacatepéquez,San Bartolomé Milpas Altas,2015,534.246596165131,1981,2025,45,719.6066482916153,146.39322856487334,-1.266179139182951,FINAL
308,Sacatepéquez,San Lucas Sacatepéquez,2015,532.7040194142899,1981,2025,45,725.9762011225885,148.85370529187512,-1.2984035656306097,FINAL
309,Sacatepéquez,Santa Lucía Milpas Altas,2015,507.0772469090165,1981,2025,45,669.6792800983123,132.8006168235905,-1.224407213449113,FINAL
310,Sacatepéquez,Magdalena Milpas Altas,2015,494.76421833467623,1981,2025,45,630.1849154482805,123.36504196439411,-1.0977234308621218,FINAL
311,Sacatepéquez,Santa María De Jesús,2015,578.9877353646792,1981,2025,45,726.5518227355706,135.44881171951408,-1.0894454185132716,FINAL
312,Sacatepéquez,Ciudad Vieja,2015,644.412867596229,1981,2025,45,793.8592450768402,147.458611349329,-1.0134801630986012,FINAL
313,Sacatepéquez,San Miguel Dueñas,2015,791.3681634528239,1981,2025,45,995.3007053904802,178.0989055862011,-1.1450521903344968,FINAL
314,Sacatepéquez,Alotenango,2015,1060.437617652961,1981,2025,45,1292.4140039749363,225.18995712839185,-1.0301364646990636,FINAL
315,Sacatepéquez,San Antonio Aguas Calientes,2015,586.8753098976283,1981,2025,45,746.1007177910299,145.22642163423063,-1.0963942105137656,FINAL
316,Sacatepéquez,Santa Catarina Barahona,2015,647.2026712698494,1981,2025,45,813.601703348977,150.8322437110738,-1.1032059723110184,FINAL
401,Chimaltenango,Chimaltenango,2015,549.1445209519978,1981,2025,45,749.512736867835,154.63552760171504,-1.2957450271836166,FINAL
402,Chimaltenango,San José Poaquil,2015,509.9079730114167,1981,2025,45,709.0320780503096,141.40927988794732,-1.4081402945880126,FINAL
403,Chimaltenango,San Martín Jilotepeque,2015,515.9878791497588,1981,2025,45,739.4113865795837,151.6626684184607,-1.473160862588577,FINAL
404,Chimaltenango,Comalapa,2015,477.77402209734396,1981,2025,45,648.3139105815285,127.81696212756934,-1.3342508352997393,FINAL
405,Chimaltenango,Santa Apolonia,2015,479.096773046493,1981,2025,45,661.7249161806004,134.54131993168744,-1.357413047730138,FINAL
406,Chimaltenango,Tecpán Guatemala,2015,500.8414770228038,1981,2025,45,704.4997923126705,140.01891200488507,-1.4545057690689762,FINAL
407,Chimaltenango,Patzún,2015,677.5959032101191,1981,2025,45,916.9119148679318,173.08210726476085,-1.382673318691082,FINAL
408,Chimaltenango,Pochuta,2015,1294.8144324828706,1981,2025,45,1769.1927153780148,328.22629837531855,-1.4452781061214799,FINAL
409,Chimaltenango,Patzicía,2015,694.0209928987405,1981,2025,45,887.3120102312872,161.53016841227407,-1.1966248734367029,FINAL
410,Chimaltenango,Santa Cruz Balanyá,2015,489.9611139171352,1981,2025,45,639.4036458665408,122.50604845146319,-1.21987880466665,FINAL
411,Chimaltenango,Acatenango,2015,1318.927151340957,1981,2025,45,1690.587958278603,301.3902945300818,-1.233154529800397,FINAL
412,Chimaltenango,Yepocapa,2015,1635.2090492914097,1981,2025,45,2115.3146263656317,395.8743354680076,-1.2127726757195192,FINAL
413,Chimaltenango,San Andrés Itzapa,2015,670.3126087363288,1981,2025,45,850.4597466304372,156.30765321516728,-1.152516426346217,FINAL
414,Chimaltenango,Parramos,2015,631.1706547441181,1981,2025,45,798.4335508041568,147.67331471128813,-1.1326548495714988,FINAL
415,Chimaltenango,Zaragoza,2015,544.743005182267,1981,2025,45,721.3780456783431,141.0502285495799,-1.2522846812260782,FINAL
416,Chimaltenango,El Tejar,2015,551.3589894301539,1981,2025,45,768.1955765744727,164.3513856963441,-1.319347483598018,FINAL
501,Escuintla,Escuintla,2015,1292.2218966394296,1981,2025,45,1624.0461351283082,277.59480938491146,-1.195354622170809,FINAL
502,Escuintla,Santa Lucía Cotzumalguapa,2015,1299.1096520448816,1981,2025,45,1838.199956400591,347.2304426541072,-1.5525433203237968,FINAL
503,Escuintla,La Democracia,2015,961.5171113027894,1981,2025,45,1310.040899393983,256.6638791278997,-1.357899636191186,FINAL
504,Escuintla,Siquinalá,2015,1734.90968535213,1981,2025,45,2273.242644334534,415.076240489882,-1.2969495877361026,FINAL
505,Escuintla,Masagua,2015,894.8550252979348,1981,2025,45,1213.3284212260087,241.55757094219354,-1.318416122027849,FINAL
506,Escuintla,Tiquisate,2015,679.8157645553117,1981,2025,45,1099.3330593701887,216.54027105385555,-1.937363857416338,FINAL
507,Escuintla,La Gomera,2015,801.470453701641,1981,2025,45,1192.8089121952646,235.2033963522672,-1.6638299640346645,FINAL
508,Escuintla,Guanagazapa,2015,1084.260503510303,1981,2025,45,1434.777751302957,270.2549364334725,-1.2969874016674605,FINAL
509,Escuintla,San José,2015,695.4064113865899,1981,2025,45,1039.3040527679698,228.08414060460757,-1.507766565749696,FINAL
510,Escuintla,Iztapa,2015,777.2199974092945,1981,2025,45,1171.443438924166,254.28708795826137,-1.5503085299383321,FINAL
511,Escuintla,Palín,2015,982.0416455843224,1981,2025,45,1229.6740875837374,204.72369759478818,-1.2095934418376744,FINAL
512,Escuintla,San Vicente Pacaya,2015,963.6598706074734,1981,2025,45,1232.4522222820158,199.66916006312087,-1.3461886231682938,FINAL
513,Escuintla,Nueva Concepción,2015,693.570067093062,1981,2025,45,1106.7321636729432,217.25214322216442,-1.9017630411009439,FINAL
514,Escuintla,Sipacate,2015,602.009625160934,1981,2025,45,962.9158757294643,200.26173540828188,-1.8021727906868272,FINAL
601,Santa Rosa,Cuilapa,2015,816.3004974202478,1981,2025,45,1113.9389927404193,201.64351815096526,-1.476062796609893,FINAL
602,Santa Rosa,Barberena,2015,843.5849568576331,1981,2025,45,1073.9200180336643,187.26832031187345,-1.2299734455482654,FINAL
603,Santa Rosa,Santa Rosa De Lima,2015,864.9705629784619,1981,2025,45,1098.9141519919353,194.4955596021213,-1.2028222623285119,FINAL
604,Santa Rosa,Casillas,2015,631.5147560323459,1981,2025,45,879.8319224739535,162.46157554480118,-1.5284670581883557,FINAL
605,Santa Rosa,San Rafael Las Flores,2015,629.0788082382984,1981,2025,45,874.5888859801289,169.53719373055472,-1.4481192730606325,FINAL
606,Santa Rosa,Oratorio,2015,681.8341421904771,1981,2025,45,1097.179722228,206.10588344535773,-2.0152048699164777,FINAL
607,Santa Rosa,San Juan Tecuaco,2015,854.1667152283965,1981,2025,45,1321.7291983875978,262.39251357275003,-1.7819200585902637,FINAL
608,Santa Rosa,Chiquimulilla,2015,733.8870608036128,1981,2025,45,1136.347722109886,236.27206974165833,-1.7033780664228606,FINAL
609,Santa Rosa,Taxisco,2015,834.5367661656044,1981,2025,45,1218.8835967082114,249.6019689567457,-1.5398389369645222,FINAL
610,Santa Rosa,Santa María Ixhuatán,2015,846.39629119311,1981,2025,45,1257.5784654709946,239.94267394665326,-1.7136683838461486,FINAL
611,Santa Rosa,Guazacapán,2015,788.8066134993821,1981,2025,45,1183.321136964315,245.8841681088363,-1.6044730594053862,FINAL
612,Santa Rosa,Santa Cruz Naranjo,2015,764.8736300153475,1981,2025,45,977.6221615972705,174.95455960334098,-1.216021646216417,FINAL
613,Santa Rosa,Pueblo Nuevo Viñas,2015,931.3435192581919,1981,2025,45,1220.0645940798386,219.63665332072054,-1.3145395837007532,FINAL
614,Santa Rosa,Nueva Santa Rosa,2015,738.9388582317688,1981,2025,45,977.5418471262175,176.83722384095813,-1.3492803365259836,FINAL
701,Sololá,Sololá,2015,535.6100138376323,1981,2025,45,796.1153602579475,172.49984365865305,-1.510177289991112,FINAL
702,Sololá,San José Chacayá,2015,606.8363634271925,1981,2025,45,876.8463517075679,190.8287806304109,-1.4149332579099758,FINAL
703,Sololá,Santa María Visitación,2015,1138.1816286570993,1981,2025,45,1620.2366449444319,313.89632724194166,-1.5357141019231466,FINAL
704,Sololá,Santa Lucía Utatlán,2015,642.7375696313721,1981,2025,45,947.1030120330585,198.13819272096447,-1.5361270748558828,FINAL
705,Sololá,Nahualá,2015,883.029777704903,1981,2025,45,1268.7054003297897,237.9665454153107,-1.6207136257400674,FINAL
706,Sololá,Santa Catarina Ixtahuacán,2015,1074.3649927839808,1981,2025,45,1543.316357577862,292.45920878019774,-1.6034761454419744,FINAL
707,Sololá,Santa Clara La Laguna,2015,1026.2423378614426,1981,2025,45,1465.2036463075349,287.3942095803723,-1.5273839688246498,FINAL
708,Sololá,Concepción,2015,543.454168171477,1981,2025,45,788.8802352552333,169.24181993202586,-1.4501502476298647,FINAL
709,Sololá,San Andrés Semetabaj,2015,516.3149660278102,1981,2025,45,747.6849343704423,150.72352112651757,-1.5350621231069819,FINAL
710,Sololá,Panajachel,2015,552.3144729676487,1981,2025,45,801.8707087544167,165.17576083893948,-1.5108526488345144,FINAL
711,Sololá,Santa Catarina Palopó,2015,520.044878842953,1981,2025,45,755.7059488544892,152.48686043079613,-1.5454516497077948,FINAL
712,Sololá,San Antonio Palopó,2015,527.01170817023,1981,2025,45,747.2474848891236,151.7801546256108,-1.4510182656101462,FINAL
713,Sololá,San Lucas Tolimán,2015,711.9611192176296,1981,2025,45,998.124988336358,195.54731318396853,-1.463399647171367,FINAL
714,Sololá,Santa Cruz La Laguna,2015,601.3483618337327,1981,2025,45,882.1788192461042,183.01869125632155,-1.5344359392181564,FINAL
715,Sololá,San Pablo La Laguna,2015,900.8233103752136,1981,2025,45,1315.3595202734073,265.1779670282575,-1.5632377551714938,FINAL
716,Sololá,San Marcos La Laguna,2015,851.2201998883712,1981,2025,45,1244.0411190560706,251.48669019868393,-1.5619948668351238,FINAL
717,Sololá,San Juan La Laguna,2015,1202.5950094394602,1981,2025,45,1721.7704541836902,334.7343296776085,-1.551007466859648,FINAL
718,Sololá,San Pedro La Laguna,2015,1034.9595115063325,1981,2025,45,1464.0635446251774,288.5893155384523,-1.48690200923835,FINAL
719,Sololá,Santiago Atitlán,2015,853.2058499693368,1981,2025,45,1207.08484214742,236.35777009642717,-1.4972175106987629,FINAL
801,Totonicapán,Totonicapán,2015,486.7125943423869,1981,2025,45,721.9187731075076,154.79012670116526,-1.5195166757580414,FINAL
802,Totonicapán,San Cristóbal Totonicapán,2015,396.68496507587105,1981,2025,45,554.1177187684923,115.37663651756306,-1.3645115548905453,FINAL
803,Totonicapán,San Francisco El Alto,2015,406.61879193677396,1981,2025,45,559.1981274305095,115.82724135237407,-1.3173009536638525,FINAL
804,Totonicapán,San Andrés Xecul,2015,397.78623957607476,1981,2025,45,549.2034851718106,110.96966396468513,-1.3644922421673973,FINAL
805,Totonicapán,Momostenango,2015,394.1418625289378,1981,2025,45,558.6655103630383,119.92458481448307,-1.3718925780615356,FINAL
806,Totonicapán,Santa María Chiquimula,2015,426.65642433602585,1981,2025,45,640.7468482743094,140.72309445307488,-1.5213595520362404,FINAL
807,Totonicapán,Santa Lucía La Reforma,2015,366.03674637866845,1981,2025,45,587.8163376011979,136.76948524516544,-1.6215575486372533,FINAL
808,Totonicapán,San Bartolo Aguas Calientes,2015,372.9991002769577,1981,2025,45,512.8707543919937,111.10992944588682,-1.2588582749767372,FINAL
901,Quetzaltenango,Quetzaltenango,2015,851.9803794970205,1981,2025,45,1145.3146144931693,188.44248271678433,-1.5566247629894014,FINAL
902,Quetzaltenango,Salcajá,2015,385.7589373327074,1981,2025,45,530.2520694853453,110.99807688841601,-1.3017624827671,FINAL
903,Quetzaltenango,Olintepeque,2015,549.0379269166309,1981,2025,45,736.2352090254996,133.1539170239603,-1.4058713877353195,FINAL
904,Quetzaltenango,San Carlos Sija,2015,420.9216120960462,1981,2025,45,545.3221676103338,108.79745441103371,-1.1434142111846282,FINAL
905,Quetzaltenango,Sibilia,2015,519.2944885868937,1981,2025,45,643.9782227050529,118.29922017181417,-1.053969197236231,FINAL
906,Quetzaltenango,Cabricán,2015,437.9617187651031,1981,2025,45,544.6003700254953,109.12562566683222,-0.9772099871937235,FINAL
907,Quetzaltenango,Cajolá,2015,556.529635161129,1981,2025,45,708.648964604125,122.25432925685584,-1.2442858291209786,FINAL
908,Quetzaltenango,San Miguel Sigüilá,2015,778.0007978403833,1981,2025,45,986.492573424658,161.14704633742463,-1.2937983060993579,FINAL
909,Quetzaltenango,San Juan Ostuncalco,2015,1186.432975436117,1981,2025,45,1458.5616887667613,211.65624008285158,-1.2857107979623996,FINAL
910,Quetzaltenango,San Mateo,2015,1149.5189101745402,1981,2025,45,1504.6769481178605,240.70331787142274,-1.4755012148733082,FINAL
911,Quetzaltenango,Concepción Chiquirichapa,2015,1202.4063136249083,1981,2025,45,1525.6055127944646,237.32764234552107,-1.3618270336121083,FINAL
912,Quetzaltenango,San Martín Sacatepéquez,2015,1390.8396248457243,1981,2025,45,1762.2051743455766,261.3859745369572,-1.4207554562088607,FINAL
913,Quetzaltenango,Almolonga,2015,565.3662107945883,1981,2025,45,776.4790522113119,150.50365733191862,-1.4027090448117046,FINAL
914,Quetzaltenango,Cantel,2015,556.5153935664558,1981,2025,45,776.9591226558856,156.33656089803773,-1.41005870810477,FINAL
915,Quetzaltenango,Huitán,2015,452.45445737519,1981,2025,45,557.6377836239028,111.25669226851754,-0.945411229689027,FINAL
916,Quetzaltenango,Zunil,2015,1072.8510793999985,1981,2025,45,1488.092460957035,260.0360140540043,-1.5968610466041027,FINAL
917,Quetzaltenango,Colomba,2015,1634.83503991204,1981,2025,45,1963.914559392073,316.5981828058234,-1.0394232732594826,FINAL
918,Quetzaltenango,San Francisco La Unión,2015,456.6925921986256,1981,2025,45,618.0943281105618,117.30717318727554,-1.375889739106284,FINAL
919,Quetzaltenango,El Palmar,2015,1554.5056123176646,1981,2025,45,2052.436727488432,329.6186510198038,-1.5106278532183282,FINAL
920,Quetzaltenango,Coatepeque,2015,1306.7511755392702,1981,2025,45,1470.066877821681,288.8060767489688,-0.565485685484261,FINAL
921,Quetzaltenango,Génova,2015,1382.085433975827,1981,2025,45,1611.7093857309733,310.6797081318067,-0.7391018651843448,FINAL
922,Quetzaltenango,Flores Costa Cuca,2015,1529.3580572909714,1981,2025,45,1731.2845424469606,332.98767269161175,-0.606408289903868,FINAL
923,Quetzaltenango,La Esperanza,2015,1111.8955570459366,1981,2025,45,1437.055826931695,235.60654688793105,-1.3800986185686286,FINAL
924,Quetzaltenango,Palestina De los Altos,2015,688.7688051001203,1981,2025,45,856.8915330168301,134.98177777276476,-1.2455216599661043,FINAL
1001,Suchitepéquez,Mazatenango,2015,1243.263957591482,1981,2025,45,1751.147077615376,331.47145972061446,-1.532207691280482,FINAL
1002,Suchitepéquez,Cuyotenango,2015,1258.9130197082661,1981,2025,45,1738.263770336757,328.7747823727994,-1.4579912339047727,FINAL
1003,Suchitepéquez,San Francisco Zapotitlán,2015,1341.5241816749144,1981,2025,45,1861.2299438138969,325.16874872535385,-1.598264790746972,FINAL
